27 дек. 2022 13:47:31,894 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,895 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,219 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,222 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,223 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,225 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,226 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,226 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,228 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,230 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,231 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,236 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,341 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,342 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,343 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,343 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,345 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,349 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,408 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,408 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,409 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,411 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,439 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:48:12,289 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 64, Time : 11, Current connections count : 1
27 дек. 2022 13:48:12,317 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,360 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,363 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,412 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,416 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,428 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,431 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,433 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,435 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,436 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,438 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,496 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,502 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,507 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,513 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,514 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,517 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,520 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,522 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,523 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,525 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,019 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,047 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,048 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,053 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,056 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,289 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 65, Time : 10, Current connections count : 2
27 дек. 2022 13:48:13,312 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 65, Current connections count : 2
27 дек. 2022 13:48:13,423 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,431 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,514 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,518 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,554 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,556 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,558 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,592 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,595 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,687 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,690 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,693 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,695 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,697 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,700 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,702 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,704 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,708 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,710 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,713 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,715 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,715 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,717 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,721 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,722 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,723 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,724 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,724 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,726 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,727 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,728 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,911 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,913 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,927 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,928 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:13,930 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,392 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,396 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,397 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,418 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,421 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,429 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,436 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,437 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,438 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,440 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,445 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,446 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,447 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,449 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,458 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,463 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,470 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,479 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,481 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,484 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,486 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,493 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,495 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,496 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,507 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,513 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,515 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,516 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 64, Current connections count : 2
27 дек. 2022 13:48:14,522 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 64, Current connections count : 2
